kind,path,size_bytes,size_readable
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\_core\tests\__pycache__,4204541,4.01 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\orm\__pycache__,2420287,2.31 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\sql\__pycache__,2273469,2.17 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\__pycache__,1922931,1.83 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\frame\methods\__pycache__,1585258,1.51 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\lib\tests\__pycache__,1419613,1.35 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\PIL\__pycache__,1411146,1.35 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\rich\__pycache__,1215446,1.16 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\_core\__pycache__,1076438,1.03 MB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\lib\__pycache__,1033933,1009.70 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\chardet\__pycache__,999648,976.22 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\frame\__pycache__,964824,942.21 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\groupby\__pycache__,930754,908.94 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pdfminer\__pycache__,850229,830.30 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\io\__pycache__,831674,812.18 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\arrays\__pycache__,820795,801.56 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\engine\__pycache__,778419,760.17 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\series\methods\__pycache__,773357,755.23 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\indexes\__pycache__,752816,735.17 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\io\__pycache__,733570,716.38 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\jinja2\__pycache__,710692,694.04 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\ma\tests\__pycache__,708405,691.80 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pydantic\v1\__pycache__,656829,641.43 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexing\__pycache__,652053,636.77 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pydantic\__pycache__,648611,633.41 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\distutils\__pycache__,628972,614.23 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\random\tests\__pycache__,621468,606.90 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\io\formats\__pycache__,592789,578.90 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\f2py\__pycache__,587267,573.50 KB
